交通运输、仓储和邮政业,97050
住宿和餐饮业,50346
信息传输、软件和信息技术服务业,	161352
公共服务、社会组织,94369
农、林、牧、渔业,39340
制造业,78147
国际组织,94369
建筑业,65580
房地产业,80157
批发和零售业,89047
文化和体育业,107708
电力、热力生产供应业,107733
采矿业,91068
金融业,131405
